Course	Room	Teacher	Time	Students
003421	9 / 10 / 9	DAL212E	0024092	43	3816997 4003839 4193260 4280653 4037591 3910564 4174660 4143065 4175286 
008423	25 / 26 / 40	TAYF	4177943	42	3816997 3901669 3932943 3953825 4090844 4127367 4155489 4180325 4193293 4278485 4280653 3915243 4174957 3888468 3699613 3997010 4130250 4358230 3902614 3929810 4174660 4278734 3817419 3820768 3818771 
001771	9 / 9 / 12	TH102	1061058	42	3817981 4282008 3856450 3847931 3910564 3769494 3819304 3995227 4086314 
004304	6 / 7 / 17	TAYSEM	3448653	43	3790244 3816722 3818024 3716057 3768025 3589576 
012818	9 / 10 / 45	TH224	3448653	44	3818024 3910870 4175295 4175408 4003130 3913164 3822218 4175371 4278990 
001845	24 / 25 / 24	PK126	3646542	47	3818025 3822778 3931946 3970633 3994652 4095301 4095424 3818762 4001999 4115871 3928589 3822201 4003434 4174617 3901731 3968696 4093066 4134408 4007305 4175330 3914552 4091072 4093853 4086287 
002412	14 / 17 / 40	TAYF	0031373	44	3818805 3931946 4277616 3821008 3914498 3969108 4093959 3929651 4091936 4175377 4095206 4371973 3816203 4001654 
016926	48 / 59 / 59	PK243	4172051	45	3781152 3850568 3893220 3929575 3937982 4000998 4070957 4091672 4096738 4232308 4278366 4282999 4280607 3852217 4000249 3817087 4279329 3910321 3929165 4170477 3905623 4152767 3910645 3988063 4072230 4094965 4096358 4263456 3790928 3819372 3843810 3910765 3999899 4093165 4175358 3995719 3693891 4000420 4276031 4279035 3820958 4096769 3817379 4087228 4175458 3821589 3792443 4095445 
012665	3 / 4 / 9	DAL212E	3332662	45	3819177 3819598 3915267 
006500	9 / 29 / 9	DAL212E	0031399	46	3819230 3928890 3930674 4043840 4092928 4174231 4180447 4180508 4275431 
004838	28 / 28 / 28	TH104	0031373	48	3651750 3819585 3823338 3827187 4092675 4092823 4180435 4280375 4280697 4281005 3942061 3816860 3888468 4281294 3910649 4095472 4139961 4280947 3712913 3902196 3928949 3929864 4176086 3820037 4280642 3796926 3821195 4371932 
014140	10 / 11 / 40	TAYF	0031336	46	3819628 4078277 4270406 4091163 4175888 4358230 4279855 4281391 4086337 4093161 
012355	4 / 4 / 28	GOB	4089714	47	3819645 4280475 3910741 4278991 
003014	9 / 33 / 9	DAL212E	3332662	48	3908117 3913606 3921659 4014292 4023438 4090806 4091672 4091784 4092833 
003029	9 / 19 / 9	DAL212E	4354612	49	3819177 3819598 3820032 3914754 3930034 4086240 3653200 4086281 3851913 
002464	5 / 5 / 40	TAYF	4354604	49	3821048 3852520 3929800 3930683 3910563 
007403	17 / 17 / 40	TAYF	0031611	50	3822778 3929235 3910721 3911054 3833378 3910347 3610287 3796237 3722764 3910501 3910555 3910492 3816336 3907037 3913671 4175290 3910848 
006538	9 / 19 / 9	DAL212E	4092861	50	3823092 3876667 3903994 3914515 4280525 4175394 3816963 3931962 4161057 
