84.09864
Zero Conflict:37125
Nonzero Conflict:3023
More students interested than room limit: 2
Course	Room	Teacher	Time	Students
002636	15 / 65 / 15	TH110	0827051	54	3104067 3112448 3129160 3224891 3356374 3395581 3405619 3416997 3418908 3429894 3431535 3433961 3435931 3437141 3438374 
005853	4 / 65 / 4	TH110	3212821	55	3104660 3227361 3236356 3340110 
012886	4 / 65 / 4	TH110	1084458	56	3104660 3198769 3227669 3413574 
006049	3 / 67 / 4	PK338	0031526	55	3105287 3334029 3369591 
001165	13 / 67 / 16	PK338	0408816	56	3223179 3224187 3323859 3338208 3354445 3355412 3358345 3397066 3398117 3417355 3432027 3435248 3439820 
007923	5 / 65 / 5	TH110	0031539	57	3105958 3110781 3260429 3269263 3322637 
003004	14 / 67 / 28	PK338	1083868	57	3159218 3172803 3202466 3212089 3224991 3228721 3258485 3314270 3339029 3411629 3413441 3415489 3417000 3417512 
006045	4 / 67 / 5	PK338	0031526	58	3116805 3236337 3314060 3314546 
006872	1 / 65 / 1	TH110	0031347	58	3107001 
007396	20 / 67 / 21	PK338	0533723	59	3108046 3121829 3121847 3134508 3184966 3212907 3217450 3226257 3233965 3255755 3257543 3291024 3328955 3337334 3339074 3357367 3381424 3411254 3413014 3439328 
003539	8 / 65 / 9	TH110	3443571	59	3109485 3223454 3248623 3270555 3311775 3340683 3375410 3438471 
004393	3 / 65 / 3	TH110	3451416	60	3109485 3221546 3331117 
011193	9 / 67 / 11	PK338	0431946	60	3110781 3118334 3217527 3225193 3340585 3418106 3425095 3426169 3434124 
001768	10 / 65 / 10	TH110	0027799	61	3111592 3186604 3222282 3250683 3315530 3358228 3364639 3416374 3417042 3431740 
004809	10 / 65 / 10	TH110	3194193	62	3111592 3121847 3198263 3223213 3224476 3421153 3436514 3438068 3438441 3438473 
004803	13 / 67 / 13	PK338	0031373	61	3112294 3218913 3396226 3404534 3411108 3429706 3432759 3435734 3437379 3439387 3439475 3439528 3439701 
011299	19 / 67 / 19	PK338	0168763	62	3112294 3185597 3224950 3226945 3316273 3331277 3337781 3340292 3375410 3375544 3396460 3405145 3406042 3420837 3430401 3431740 3434428 3435070 3437781 
002463	3 / 65 / 3	TH110	0031373	63	3112448 3197293 3211369 
012845	20 / 67 / 20	PK338	3195964	63	3112797 3116464 3129360 3134350 3159218 3161154 3211857 3217514 3217598 3218733 3222282 3263732 3278685 3310035 3314270 3389022 3390220 3411629 3415175 3415489 
003033	3 / 7 / 4	PK227	0492580	1	3112870 3158421 3162076 
007041	2 / 6 / 3	GOCOM	0162976	1	3260429 3338668 
005214	2 / 5 / 2	PK154	3447549	1	3112960 3227014 
002470	5 / 14 / 8	CARP17	0697660	1	3113444 3177222 3326954 3330241 3433501 
001152	66 / 67 / 66	PK338	3453004	1	3113981 3221725 3222195 3224187 3249454 3323191 3330767 3331180 3341874 3357453 3374040 3374194 3375389 3375544 3377851 3380697 3381424 3397066 3402266 3402721 3405248 3405619 3406406 3411646 3413255 3413598 3415849 3416536 3417003 3417075 3417355 3417933 3418264 3418499 3421153 3421604 3421770 3422289 3424363 3425219 3425356 3426718 3429602 3429732 3430944 3431158 3431448 3431535 3432040 3432243 3432759 3433539 3433663 3434428 3434468 3435070 3435161 3436119 3436158 3436260 3437827 3438020 3438068 3439283 3439701 3439899 
003029	9 / 29 / 9	TH102	0492580	2	3114024 3159218 3211369 3225245 3227882 3228501 3316768 3324397 3329719 
003433	12 / 39 / 20	CARP21	0995587	1	3114024 3236337 3283602 3337335 3374470 3405604 3414395 3428820 3429832 3434210 3435397 3436212 
012765	11 / 24 / 15	BYC127	3433185	1	3115170 3186604 3222477 3247072 3250244 3330906 3337037 3342969 3354445 3389674 3416997 
007374	21 / 40 / 24	DAL300	0987494	1	3116065 3122279 3217450 3227364 3249123 3255755 3257543 3318430 3337781 3337851 3338175 3339074 3339814 3340533 3344151 3381824 3411018 3411254 3414068 3418907 3440116 
001199	5 / 21 / 6	CARP25	3447549	2	3116269 3223347 3350670 3415217 3440606 
