80.68988
Zero Conflict:25650
Nonzero Conflict:2286
More students interested than room limit: 1
Course	Room	Teacher	Time	Students
004010	35 / 51 / 40	PK349	0030564	1	1039740 1039761 1069276 1158585 3082370 3084075 3084494 3090312 3092179 3093184 3105219 3108487 3109227 3121966 3123316 3126433 3126639 3150160 3151640 3153576 3155060 3165225 3166656 3177063 3177388 3179110 3190778 3208714 3210074 3210877 3211643 3214899 3215769 3216420 3216914 
011312	2 / 8 / 4	PK10	0125630	1	1043203 3191876 
001232	1 / 4 / 1	RCSEM	0493725	1	1047500 
007403	4 / 13 / 7	PK328	0031611	1	1047712 1057564 1071785 3069352 
009342	6 / 26 / 6	TAYE	0031522	2	1048062 1058757 1059799 3081698 3087328 3091781 
007007	15 / 41 / 26	PK229	0028980	1	1048446 1070105 1081058 1094452 1161679 3068612 3083717 3084853 3089115 3098242 3107224 3155346 3190802 3191210 3193161 
004874	1 / 4 / 1	PK154	0607548	1	1048639 
011206	0 / 5 / 3	PK259	0129398	1	
011630	4 / 16 / 5	TAYSEM	0031539	2	1049683 1071507 1161808 3094738 
011308	5 / 13 / 7	PK337	0180723	1	1049957 1092084 3061759 3100458 3209936 
011298	4 / 11 / 6	PEMSTD	0058557	1	1050602 1057618 1163179 3096248 
005723	12 / 34 / 21	TH104	0984701	1	1050645 3119048 3119630 3126883 3145694 3145695 3205208 3209949 3211396 3213402 3217195 3218135 
011319	1 / 4 / 3	PK128	0827051	1	1051315 
010949	3 / 13 / 7	CARP13	0897399	1	1079912 1085466 3069455 
004285	3 / 15 / 8	TH251	3092832	1	1056457 1133031 3086119 
004020	4 / 10 / 6	BYC100	3244352	1	1057605 1071068 3089763 3151195 
008774	7 / 33 / 8	PK336	0031572	3	1057693 3079866 3093319 3094575 3135241 3204830 3215666 
003003	3 / 25 / 6	CARP25	3195619	2	1058203 3065016 3213968 
002659	3 / 13 / 3	PK278	0031543	2	1058429 3091889 3152743 
002638	1 / 3 / 1	ROSTUD	0765372	1	1059101 
011318	2 / 7 / 4	RCCON	3092667	1	1059105 3306653 
001749	4 / 16 / 9	TAYSEM	0254474	1	1059200 1071788 3078331 3125127 
001771	5 / 13 / 7	PK278	3319168	1	3064869 3067585 3091340 3104716 3194474 
010845	9 / 28 / 14	TAYG	3092941	1	1059404 1059663 1088535 1115327 1134634 3064819 3065722 3081410 3087809 
004389	2 / 28 / 3	EHI	0989327	3	1059604 3211473 
009286	4 / 46 / 4	PK180	0138190	4	1059604 1073230 3082852 3210027 
007404	1 / 11 / 2	TH111	0205229	2	1069835 
003027	13 / 41 / 14	PK229	0375562	2	1060146 1087351 1163125 3066992 3067352 3069758 3071798 3073034 3077931 3089384 3092196 3097153 3098276 
006024	77 / 77 / 77	PK338	0301909	2	1059804 1079289 1155839 1162423 1162443 3063119 3065332 3068181 3068444 3080546 3082370 3083995 3086455 3092781 3093246 3094263 3098317 3099184 3099423 3099745 3100415 3104489 3105219 3105866 3106403 3110627 3118090 3120137 3121582 3122857 3123316 3125127 3125873 3126731 3149019 3150160 3151640 3152572 3152667 3153713 3155695 3158474 3173283 3177165 3180821 3181938 3185122 3185376 3185620 3188793 3189051 3191210 3191285 3191834 3192657 3193161 3193288 3193776 3193996 3203991 3204279 3204517 3205324 3205454 3208714 3209843 3210000 3211335 3211360 3211727 3213412 3213727 3214138 3215666 3216906 3217313 3218679 
008437	6 / 28 / 8	TAYD	0031619	2	1060531 1074374 3062862 3093050 3098224 3217408 
008792	5 / 24 / 6	GIL101	0031572	2	1068696 1079912 3068167 3070830 3088052 
007364	39 / 77 / 39	PK338	0031611	3	1068953 1082986 1162423 1164327 3073017 3079887 3080512 3080943 3082959 3083207 3085302 3085407 3086240 3087117 3090325 3094527 3095391 3097009 3097153 3121966 3126639 3126930 3142378 3152572 3152788 3177063 3177388 3189051 3192437 3193672 3204153 3210074 3211081 3211360 3212787 3213968 3215769 3216420 3217415 
004040	11 / 39 / 12	TH110	0854975	2	1069205 1076743 1097091 3062958 3072097 3080405 3085302 3085596 3104777 3126602 3217540 
002872	6 / 23 / 6	EHLEC	1084458	2	1069299 1092084 1164777 3086240 3171506 3191191 
005853	5 / 30 / 5	TAYF	0031416	3	1069299 1155110 3106446 3188887 3191191 
008496	3 / 26 / 3	PK243	0031619	3	1069425 1072725 1163270 
010966	3 / 16 / 5	PK354	0775640	2	1069425 1103971 3086192 
001157	3 / 13 / 4	PK328	1051497	2	1070296 3104870 3163183 
