71.48649
Course	Room	Teacher	Time	Students
005722	31 / 49 / 31	EHII	0031543	4	1124024 3064819 3092244 3092532 3100388 3114269 3114872 3118178 3209936 3211542 3214178 3219786 3227754 3228428 3231826 3252374 3252673 3255502 3268127 3306761 3311808 3314945 3316711 3321787 3322715 3322722 3329744 3330273 3331496 3331582 3389664 
008793	2 / 20 / 9	CARP15	0899465	4	1161763 3095867 
006508	3 / 11 / 3	TAYSEM	0031478	5	1125596 3215241 3316782 
006562	2 / 6 / 3	GOA	0031573	4	1125596 3215241 
005243	4 / 20 / 9	TAYD	3310303	4	1126780 1153307 3082058 3145694 
006565	1 / 6 / 3	PK200	0031399	4	3079915 
001838	12 / 38 / 20	GOB	0056992	4	1133589 1158383 3066423 3078232 3098490 3104716 3155201 3179110 3216244 3217408 3217444 3302367 
002464	6 / 60 / 6	PK336	1051497	6	1133589 3066114 3069318 3073014 3090058 3095867 
001242	2 / 43 / 2	EHLEC	1051497	6	1134151 3088010 
004285	5 / 17 / 6	TH111	1165566	4	1134634 1150784 3065929 3092830 3153473 
011037	2 / 8 / 4	ROSTUD	0777265	4	3081073 3097933 
002568	7 / 19 / 7	RCCON	3398516	4	1134649 3067610 3068633 3069893 3086709 3097468 3108814 
011965	0 / 15 / 6	CAN314	3393847	4	
005257	4 / 17 / 7	TH104	3393850	4	3067793 3080142 3103193 3190633 
011861	5 / 49 / 5	EHII	3196642	6	1135687 3098496 3103166 3125322 3323692 
004009	27 / 45 / 30	TH110	0163316	4	1137568 3071798 3091892 3155033 3169644 3170878 3210020 3212293 3212787 3214138 3214147 3219719 3231837 3248179 3292462 3297051 3299552 3304324 3309190 3314971 3323454 3330334 3330372 3332409 3333094 3333219 3333459 
008479	4 / 19 / 4	TAYC	0031619	5	1138000 3062439 3092126 3216670 
005162	6 / 19 / 8	TH224	0031582	4	1138637 3098284 3171506 3188887 3219783 3228778 
007364	30 / 45 / 45	TH110	0031611	5	1143121 1153904 1161804 3065947 3073216 3099257 3100468 3104014 3126772 3155348 3192054 3193288 3213840 3217439 3218679 3249965 3251957 3256812 3262977 3264020 3296121 3303921 3305222 3316906 3317266 3322204 3329187 3330337 3332202 3333094 
